"Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","Library Name","Library Strategy","Library Source","Library Selection"
"SRX3139408","fecal sample from HMP2: Subject C3011C20_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472244","","1326.8","1","18138691","3598929921","G95781_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139407","fecal sample from HMP2: Subject P6028C1_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472243","","1054.37","1","13977258","2764090404","G95780_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139406","fecal sample from HMP2: Subject M2071C1_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472380","","1065.42","1","14129340","2797209363","G95784_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139405","fecal sample from HMP2: Subject C3017C16_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472242","","1040.85","1","13624613","2686222342","G95782_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139404","fecal sample from HMP2: Subject M2067C6_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472241","","1097.05","1","14682598","2905926838","G95786_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139403","fecal sample from HMP2: Subject C3032C7_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472240","","993.81","1","13097962","2593330224","G95785_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139402","fecal sample from HMP2: Subject M2079C1_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472239","","1269.08","1","16808540","3329641928","G95788_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139401","fecal sample from HMP2: Subject C3013C22_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472238","","1111.53","1","14695453","2882044302","G95787_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139400","fecal sample from HMP2: Subject E5004C6_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472237","","2705.35","1","19800043","3854293595","G79989_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139399","fecal sample from HMP2: Subject H4011C1_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472236","","1280.74","1","9372754","1821211266","G79986_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139398","fecal sample from HMP2: Subject P6009C3_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472235","","1457.31","1","19440539","3851678145","G95824_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139397","fecal sample from HMP2: Subject C3001C7_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472234","","2341.79","1","17086306","3330135607","G79969_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139396","fecal sample from HMP2: Subject M2008C13_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472233","","1909.14","1","13869785","2683926418","G79967_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139395","fecal sample from HMP2: Subject C3007C1_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472232","","1767.18","1","12987643","2533678386","G79966_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139394","fecal sample from HMP2: Subject M2021C6_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472231","","2773.4","1","21454936","4252193177","G79964_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139393","fecal sample from HMP2: Subject M2028C4_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472230","","2222.61","1","17057527","3364061687","G79974_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139392","fecal sample from HMP2: Subject M2010C8_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472229","","2007.15","1","14658825","2842812240","G79973_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139391","fecal sample from HMP2: Subject E5004C4_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472228","","2126.65","1","15531866","3014861456","G79972_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139390","fecal sample from HMP2: Subject C3002C4_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472227","","4111.6","1","29934609","5821501360","G79970_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139389","fecal sample from HMP2: Subject E5023C2_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472226","","577.26","1","7066572","1379349455","G95701_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139388","fecal sample from HMP2: Subject M2072C4_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472225","","1204.33","1","14661253","2869246361","G95703_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139387","fecal sample from HMP2: Subject C3011C18_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472224","","274.61","1","3296965","645330995","G95699_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139386","fecal sample from HMP2: Subject H4032C3_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472223","","1122.53","1","13515142","2639296445","G95700_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139385","fecal sample from HMP2: Subject P6025C5_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472222","","1510.55","1","18430753","3610959769","G95706_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139384","fecal sample from HMP2: Subject P6009C14_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472220","","1239.95","1","15159392","2958998300","G95707_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139383","fecal sample from HMP2: Subject C3013C20_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472221","","779.63","1","9507227","1861152056","G95704_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139382","fecal sample from HMP2: Subject P6024C5_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472219","","690.02","1","8442379","1644549555","G95705_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139381","fecal sample from HMP2: Subject C3013C8_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472218","","774.84","1","10417804","2061908857","G95817_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139380","fecal sample from HMP2: Subject C3011C22_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472217","","866.18","1","10580328","2069796418","G95708_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139379","fecal sample from HMP2: Subject C3017C18_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472378","","1090.6","1","13274619","2583320869","G95709_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139378","fecal sample from HMP2: Subject H4031C1_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472379","","1027.66","1","13826109","2743661739","G95774_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139377","fecal sample from HMP2: Subject E5022C2_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472216","","1810.4","1","24092993","4764271159","G95775_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139376","fecal sample from HMP2: Subject M2069C2_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472377","","1853.54","1","24257165","4786928795","G95776_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139375","fecal sample from HMP2: Subject P6009C12_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472376","","1329.6","1","18156839","3607657207","G95777_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139374","fecal sample from HMP2: Subject P6017C1_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472215","","1121.66","1","15135021","3005134088","G95770_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139373","fecal sample from HMP2: Subject P6009C8_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472375","","1134.66","1","15303449","3038782926","G95771_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139372","fecal sample from HMP2: Subject H4030C1_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472214","","506.01","1","6723864","1325419520","G95772_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139371","fecal sample from HMP2: Subject C3017C12_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472213","","1046.89","1","14065122","2788354702","G95773_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139370","fecal sample from HMP2: Subject C3017C2_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472372","","854.81","1","10325265","2018743371","G95653_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139369","fecal sample from HMP2: Subject C3017C14_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472374","","1382.59","1","18384230","3639866251","G95778_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139368","fecal sample from HMP2: Subject H4028C5_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472373","","1269.58","1","17312364","3433632194","G95779_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139367","fecal sample from HMP2: Subject H4009C13_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472370","","426.05","1","5613162","1111579812","G95816_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139366","fecal sample from HMP2: Subject C3004C4_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472371","","2794.18","1","20506673","4002668786","G80019_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139365","fecal sample from HMP2: Subject C3005C3_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472369","","2157.43","1","15634923","3030864663","G80025_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139364","fecal sample from HMP2: Subject H4001C8_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472368","","1013.81","1","7883360","1551914647","G80027_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139363","fecal sample from HMP2: Subject H4004C3_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472212","","2199.63","1","15828431","3065584021","G80028_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139362","fecal sample from HMP2: Subject M2010C11_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472211","","288.61","1","2272489","449656406","G79999_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139361","fecal sample from HMP2: Subject E5008C2_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472367","","840.37","1","5966961","1141961358","G80002_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139360","fecal sample from HMP2: Subject C3001C8_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472871","","2141.78","1","16758088","3326360374","G80015_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139359","fecal sample from HMP2: Subject C3002C5_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472366","","2443.49","1","18817906","3727945576","G80016_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139358","fecal sample from HMP2: Subject H4016C4_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472364","","1021.18","1","12513542","2450931713","G95652_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139357","fecal sample from HMP2: Subject H4007C1_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472210","","2337.81","1","17086111","3325044907","G80031_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139356","fecal sample from HMP2: Subject M2014C10_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472209","","2329.25","1","17753540","3497310320","G80032_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139355","fecal sample from HMP2: Subject H4008C22_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472870","","663.93","1","7950581","1555091196","G95689_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139354","fecal sample from HMP2: Subject P6018C2_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472208","","797.93","1","9834627","1922233057","G95688_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139353","fecal sample from HMP2: Subject H4009C22_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472207","","377.6","1","4553313","891461482","G95691_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139352","fecal sample from HMP2: Subject C3013C17_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472206","","848.1","1","10386644","2027556057","G95690_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139351","fecal sample from HMP2: Subject H4009C20_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472365","","1212.59","1","14700505","2871827842","G95693_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139350","fecal sample from HMP2: Subject C3013C14_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472869","","483.79","1","5899163","1149027320","G95692_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139349","fecal sample from HMP2: Subject P6014C7_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472363","","790.06","1","9640890","1890229633","G95696_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139348","fecal sample from HMP2: Subject H4035C1_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472205","","831.93","1","10196184","1998298844","G95695_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139347","fecal sample from HMP2: Subject H4008C21_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472868","","358.56","1","4335648","850522230","G95698_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139346","fecal sample from HMP2: Subject M2068C1_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472204","","973.53","1","11806412","2310520623","G95697_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139345","fecal sample from HMP2: Subject C3017C4_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472203","","1645.69","1","21985117","4353527362","G95814_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139344","fecal sample from HMP2: Subject H4008C10_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472202","","1335.61","1","16375731","3203961107","G95658_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139343","fecal sample from HMP2: Subject C3023C2_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472201","","1559.18","1","21015399","4169358102","G95762_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139342","fecal sample from HMP2: Subject C3013C7_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472362","","680.65","1","9171170","1814251175","G95761_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139341","fecal sample from HMP2: Subject P6009C2_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472200","","1440.39","1","19196087","3793796648","G95760_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139340","fecal sample from HMP2: Subject H4009C16_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472199","","1273","1","16814451","3321160230","G95759_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139339","fecal sample from HMP2: Subject C3013C11_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472866","","535.23","1","7168068","1415063821","G95766_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139338","fecal sample from HMP2: Subject C3031C1_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472198","","331.94","1","4357687","862708072","G95765_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139337","fecal sample from HMP2: Subject H4009C18_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472197","","117.21","1","1535181","303645237","G95764_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139336","fecal sample from HMP2: Subject C3030C1_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472361","","1501.56","1","20290670","4015589288","G95763_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139335","fecal sample from HMP2: Subject C3013C12_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472360","","1224","1","16565316","3279524194","G95769_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139334","fecal sample from HMP2: Subject C3017C10_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472196","","1374.59","1","18311323","3630228592","G95768_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139333","fecal sample from HMP2: Subject P6012C1_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472195","","829.6","1","11206943","2220152484","G95819_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139332","fecal sample from HMP2: Subject C3027C1_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472865","","777.79","1","10353748","2047599935","G95818_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139331","fecal sample from HMP2: Subject H4023C1_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472194","","880.09","1","10718452","2101090215","G95662_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139330","fecal sample from HMP2: Subject M2048C5_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472193","","1238.35","1","16609530","3294285774","G95821_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139329","fecal sample from HMP2: Subject C3013C6_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472864","","569.02","1","6842851","1334995283","G95663_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139328","fecal sample from HMP2: Subject C3011C10_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472192","","1173.85","1","15849322","3142120133","G95820_MGX","WGS","METAGENOMIC","RANDOM"
"SRX3139327","fecal sample from HMP2: Subject M2060C2_MGX","human gut metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115812","Human gut metagenome and metatranscriptome in the inflammatory bowel disease (iHMP/HMP2)","SRS2472867","","651.41","1","7807950","1523515759","G95677_MGX","WGS","METAGENOMIC","RANDOM"
