"Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","Library Name","Library Strategy","Library Source","Library Selection"
"SRX3291162","Stool sample H4040C2 MVX","viral metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2600414","","182.54","1","1562277","246839766","H4040C2_MVX","WGS","METAGENOMIC","RT-PCR"
"SRX3291161","Stool sample H4018C24 MVX","viral metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2600413","","67.77","1","579391","91543778","H4018C24_MVX","WGS","METAGENOMIC","RT-PCR"
"SRX3291160","Stool sample C3034C5 MVX","viral metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2600412","","269.18","1","2355374","372149092","C3034C5_MVX","WGS","METAGENOMIC","RT-PCR"
"SRX3291159","Stool sample H4035C8 MVX","viral metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2600410","","62.08","1","541025","85481950","H4035C8_MVX","WGS","METAGENOMIC","RT-PCR"
"SRX3291158","Stool sample C3012C4 MVX","viral metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2600409","","104.23","1","911661","144042438","C3012C4_MVX","WGS","METAGENOMIC","RT-PCR"
"SRX3291157","Stool sample H4007C9 MVX","viral metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2600406","","104.05","1","901327","142409666","H4007C9_MVX","WGS","METAGENOMIC","RT-PCR"
"SRX3291156","Stool sample C3004C11 MVX","viral metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2600408","","222.46","1","1908928","301610624","C3004C11_MVX","WGS","METAGENOMIC","RT-PCR"
"SRX3291155","Stool sample C3001C15 MVX","viral metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2600405","","118.08","1","1015722","160484076","C3001C15_MVX","WGS","METAGENOMIC","RT-PCR"
"SRX3291154","Stool sample E5013C2 MVX","viral metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2600407","","219.34","1","1863776","294476608","E5013C2_MVX","WGS","METAGENOMIC","RT-PCR"
"SRX3291153","Stool sample C3013C2 MVX","viral metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2600404","","43.04","1","364944","57661152","C3013C2_MVX","WGS","METAGENOMIC","RT-PCR"
"SRX3291152","Stool sample H4006C10 MVX","viral metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2600403","","123.14","1","1055286","166735188","H4006C10_MVX","WGS","METAGENOMIC","RT-PCR"
"SRX3291151","Stool sample C3010C6 MVX","viral metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2600402","","276.39","1","2402063","379525954","C3010C6_MVX","WGS","METAGENOMIC","RT-PCR"
"SRX3291150","Stool sample M2039C5 MVX","viral metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2600400","","428.28","1","3638445","574874310","M2039C5_MVX","WGS","METAGENOMIC","RT-PCR"
"SRX3291149","Stool sample H4015C5 MVX","viral metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2600399","","136.46","1","1193367","188551986","H4015C5_MVX","WGS","METAGENOMIC","RT-PCR"
"SRX3291148","Stool sample H4020C13 MVX","viral metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2600398","","14.97","1","128877","20362566","H4020C13_MVX","WGS","METAGENOMIC","RT-PCR"
"SRX3291147","Stool sample P6017C3 MVX","viral metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2600396","","303.17","1","2700774","426722292","P6017C3_MVX","WGS","METAGENOMIC","RT-PCR"
"SRX3291146","Stool sample M2072C6 MVX","viral metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2600397","","192.57","1","1657193","261836494","M2072C6_MVX","WGS","METAGENOMIC","RT-PCR"
"SRX3291145","Stool sample P6024C7 MVX","viral metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2600395","","344.18","1","3005782","474913556","P6024C7_MVX","WGS","METAGENOMIC","RT-PCR"
"SRX3291144","Stool sample H4019C18 MVX","viral metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2600394","","202.06","1","1769432","279570256","H4019C18_MVX","WGS","METAGENOMIC","RT-PCR"
"SRX3291143","Stool sample H4017C20 MVX","viral metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2600393","","82.29","1","706614","111645012","H4017C20_MVX","WGS","METAGENOMIC","RT-PCR"
"SRX3291142","Stool sample H4020C18 MVX","viral metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2600392","","63.7","1","557592","88099536","H4020C18_MVX","WGS","METAGENOMIC","RT-PCR"
"SRX3291141","Stool sample H4015C23 MVX","viral metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2600391","","588.27","1","5379553","849969374","H4015C23_MVX","WGS","METAGENOMIC","RT-PCR"
"SRX3291140","Stool sample C3011C23 MVX","viral metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2600390","","139.62","1","1194950","188802100","C3011C23_MVX","WGS","METAGENOMIC","RT-PCR"
"SRX3291139","Stool sample C3016C19 MVX","viral metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2600388","","78.24","1","663030","104758740","C3016C19_MVX","WGS","METAGENOMIC","RT-PCR"
"SRX3291138","Stool sample P6010C8 MVX","viral metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2600389","","201.01","1","1728945","273173310","P6010C8_MVX","WGS","METAGENOMIC","RT-PCR"
"SRX3291137","Stool sample C3030C5 MVX","viral metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2600387","","112.21","1","1023582","161725956","C3030C5_MVX","WGS","METAGENOMIC","RT-PCR"
"SRX3291136","Stool sample H4006C22 MVX","viral metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2600386","","218.97","1","1999096","315857168","H4006C22_MVX","WGS","METAGENOMIC","RT-PCR"
"SRX3291135","Stool sample M2039C18 MVX","viral metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2600385","","128.9","1","1144420","180818360","M2039C18_MVX","WGS","METAGENOMIC","RT-PCR"
"SRX3291134","Stool sample P6016C3 MVX","viral metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2600384","","62.99","1","542425","85703150","P6016C3_MVX","WGS","METAGENOMIC","RT-PCR"
"SRX3291133","Stool sample M2064C3 MVX","viral metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2600383","","257.77","1","2279125","360101750","M2064C3_MVX","WGS","METAGENOMIC","RT-PCR"
"SRX3291132","Stool sample M2060C13 MVX","viral metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2600382","","397.89","1","3622770","572397660","M2060C13_MVX","WGS","METAGENOMIC","RT-PCR"
"SRX3291131","Stool sample C3034C2 MVX","viral metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2600381","","107.66","1","913845","144387510","C3034C2_MVX","WGS","METAGENOMIC","RT-PCR"
"SRX3291130","Stool sample H4020C19 MVX","viral metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2600380","","268.36","1","2326772","367629976","H4020C19_MVX","WGS","METAGENOMIC","RT-PCR"
"SRX3291129","Stool sample M2072C7 MVX","viral metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2600379","","193.84","1","1832549","289542742","M2072C7_MVX","WGS","METAGENOMIC","RT-PCR"
"SRX3291128","Stool sample M2047C13 MVX","viral metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2600378","","152.71","1","1308497","206742526","M2047C13_MVX","WGS","METAGENOMIC","RT-PCR"
"SRX3291127","Stool sample C3027C14 MVX","viral metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2600377","","52.52","1","438504","69283632","C3027C14_MVX","WGS","METAGENOMIC","RT-PCR"
"SRX3291126","Stool sample C3015C20 MVX","viral metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2600376","","57.44","1","483112","76331696","C3015C20_MVX","WGS","METAGENOMIC","RT-PCR"
"SRX3291125","Stool sample H4038C2 MVX","viral metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2600375","","275.71","1","2463492","389231736","H4038C2_MVX","WGS","METAGENOMIC","RT-PCR"
"SRX3291124","Stool sample H4018C21 MVX","viral metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2600374","","154.87","1","1369764","216422712","H4018C21_MVX","WGS","METAGENOMIC","RT-PCR"
"SRX3291123","Stool sample C3016C20 MVX","viral metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2600373","","44.73","1","372818","58905244","C3016C20_MVX","WGS","METAGENOMIC","RT-PCR"
"SRX3291122","Stool sample E5009C2 MVX","viral metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2600372","","61.34","1","524239","82829762","E5009C2_MVX","WGS","METAGENOMIC","RT-PCR"
"SRX3291121","Stool sample H4008C5 MVX","viral metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2600371","","212.97","1","1829256","289022448","H4008C5_MVX","WGS","METAGENOMIC","RT-PCR"
"SRX3291120","Stool sample H4015C2 MVX","viral metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2600370","","515.17","1","4509066","712432428","H4015C2_MVX","WGS","METAGENOMIC","RT-PCR"
"SRX3291119","Stool sample M2027C7 MVX","viral metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2600369","","28.21","1","246914","39012412","M2027C7_MVX","WGS","METAGENOMIC","RT-PCR"
"SRX3291118","Stool sample C3010C2 MVX","viral metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2600368","","0.32","1","2192","346336","C3010C2_MVX","WGS","METAGENOMIC","RT-PCR"
"SRX3291117","Stool sample C3005C7 MVX","viral metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2600367","","1.2","1","9733","1537814","C3005C7_MVX","WGS","METAGENOMIC","RT-PCR"
"SRX3291116","Stool sample M2025C8 MVX","viral metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2600366","","574.52","1","5120182","808988756","M2025C8_MVX","WGS","METAGENOMIC","RT-PCR"
"SRX3291115","Stool sample M2014C14 MVX","viral metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2600365","","59.38","1","509305","80470190","M2014C14_MVX","WGS","METAGENOMIC","RT-PCR"
"SRX3291114","Stool sample C3004C7 MVX","viral metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2600364","","795.37","1","6880381","1087100198","C3004C7_MVX","WGS","METAGENOMIC","RT-PCR"
"SRX3291113","Stool sample H4006C6 MVX","viral metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2600363","","74.55","1","646621","102166118","H4006C6_MVX","WGS","METAGENOMIC","RT-PCR"
"SRX3291112","Stool sample M2079C5 MVX","viral metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2600361","","134.36","1","1165954","184220732","M2079C5_MVX","WGS","METAGENOMIC","RT-PCR"
"SRX3291111","Stool sample H4031C14 MVX","viral metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2600362","","181.4","1","1604325","253483350","H4031C14_MVX","WGS","METAGENOMIC","RT-PCR"
"SRX3291110","Stool sample M2064C13 MVX","viral metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2600359","","261.5","1","2253778","356096924","M2064C13_MVX","WGS","METAGENOMIC","RT-PCR"
"SRX3291109","Stool sample P6016C15 MVX","viral metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2600360","","63.75","1","536759","84807922","P6016C15_MVX","WGS","METAGENOMIC","RT-PCR"
"SRX3291108","Stool sample P6014C14 MVX","viral metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2600357","","20.79","1","176247","27847026","P6014C14_MVX","WGS","METAGENOMIC","RT-PCR"
"SRX3291107","Stool sample H4030C14 MVX","viral metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2600358","","3.56","1","30241","4778078","H4030C14_MVX","WGS","METAGENOMIC","RT-PCR"
"SRX3291106","Stool sample H4040C4 MVX","viral metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2600430","","242.43","1","2102480","332191840","H4040C4_MVX","WGS","METAGENOMIC","RT-PCR"
"SRX3291105","Stool sample C3028C15 MVX","viral metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2600355","","3.23","1","27220","4300760","C3028C15_MVX","WGS","METAGENOMIC","RT-PCR"
"SRX3291104","Stool sample M2075C5 MVX","viral metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2600356","","108.61","1","959901","151664358","M2075C5_MVX","WGS","METAGENOMIC","RT-PCR"
"SRX3291103","Stool sample P6016C5 MVX","viral metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2600354","","69.8","1","599119","94660802","P6016C5_MVX","WGS","METAGENOMIC","RT-PCR"
"SRX3291102","Stool sample H4017C16 MVX","viral metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2600353","","115.99","1","1013391","160115778","H4017C16_MVX","WGS","METAGENOMIC","RT-PCR"
"SRX3291101","Stool sample C3022C11 MVX","viral metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2600351","","95.34","1","820614","129657012","C3022C11_MVX","WGS","METAGENOMIC","RT-PCR"
"SRX3291100","Stool sample H4031C4 MVX","viral metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2600350","","108.67","1","895851","141544458","H4031C4_MVX","WGS","METAGENOMIC","RT-PCR"
"SRX3291099","Stool sample H4006C24 MVX","viral metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2600349","","21.19","1","182792","28881136","H4006C24_MVX","WGS","METAGENOMIC","RT-PCR"
"SRX3291098","Stool sample M2041C17 MVX","viral metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2600348","","213.19","1","1886129","298008382","M2041C17_MVX","WGS","METAGENOMIC","RT-PCR"
"SRX3291097","Stool sample C3027C10 MVX","viral metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2600347","","19.36","1","172324","27227192","C3027C10_MVX","WGS","METAGENOMIC","RT-PCR"
"SRX3291096","Stool sample M2042C20 MVX","viral metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2600346","","366.32","1","3221764","509038712","M2042C20_MVX","WGS","METAGENOMIC","RT-PCR"
"SRX3291095","Stool sample M2060C8 MVX","viral metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2600345","","171.53","1","1505615","237887170","M2060C8_MVX","WGS","METAGENOMIC","RT-PCR"
"SRX3291094","Stool sample C3008C22 MVX","viral metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2600344","","75.8","1","658754","104083132","C3008C22_MVX","WGS","METAGENOMIC","RT-PCR"
"SRX3291093","Stool sample H4024C2 MVX","viral metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2600343","","229.59","1","2087049","329753742","H4024C2_MVX","WGS","METAGENOMIC","RT-PCR"
"SRX3291092","Stool sample H4020C5 MVX","viral metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2600401","","9.16","1","74767","11813186","H4020C5_MVX","WGS","METAGENOMIC","RT-PCR"
"SRX3291091","Stool sample C3006C14 MVX","viral metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2600342","","575.5","1","5050856","798035248","C3006C14_MVX","WGS","METAGENOMIC","RT-PCR"
"SRX3291090","Stool sample H4006C14 MVX","viral metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2600341","","94.11","1","815462","128842996","H4006C14_MVX","WGS","METAGENOMIC","RT-PCR"
"SRX3291089","Stool sample H4019C5 MVX","viral metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2600340","","42.88","1","363218","57388444","H4019C5_MVX","WGS","METAGENOMIC","RT-PCR"
"SRX3291088","Stool sample C3005C15 MVX","viral metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2600339","","174.68","1","1517739","239802762","C3005C15_MVX","WGS","METAGENOMIC","RT-PCR"
"SRX3291087","Stool sample H4014C9 MVX","viral metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2600338","","43.25","1","397160","62751280","H4014C9_MVX","WGS","METAGENOMIC","RT-PCR"
"SRX3291086","Stool sample M2039C9 MVX","viral metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2600337","","9.17","1","78143","12346594","M2039C9_MVX","WGS","METAGENOMIC","RT-PCR"
"SRX3291085","Stool sample H4023C2 MVX","viral metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2600336","","0.67","1","5179","818282","H4023C2_MVX","WGS","METAGENOMIC","RT-PCR"
"SRX3291084","Stool sample C3004C15 MVX","viral metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2600335","","172.82","1","1456500","230127000","C3004C15_MVX","WGS","METAGENOMIC","RT-PCR"
"SRX3291083","Stool sample H4016C9 MVX","viral metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2600334","","483.46","1","4092607","646631906","H4016C9_MVX","WGS","METAGENOMIC","RT-PCR"
"SRX3291082","Stool sample M2041C9 MVX","viral metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2600333","","25.91","1","217164","34311912","M2041C9_MVX","WGS","METAGENOMIC","RT-PCR"
"SRX3291081","Stool sample H4031C9 MVX","viral metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2600332","","107.54","1","942512","148916896","H4031C9_MVX","WGS","METAGENOMIC","RT-PCR"
"SRX3291080","Stool sample P6005C19 MVX","viral metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2600330","","199.07","1","1731367","273555986","P6005C19_MVX","WGS","METAGENOMIC","RT-PCR"
"SRX3291079","Stool sample H4027C5 MVX","viral metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2600331","","622.01","1","5594144","883874752","H4027C5_MVX","WGS","METAGENOMIC","RT-PCR"
"SRX3291078","Stool sample M2027C17 MVX","viral metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2600329","","442.44","1","3892443","615005994","M2027C17_MVX","WGS","METAGENOMIC","RT-PCR"
"SRX3291077","Stool sample H4017C7 MVX","viral metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2600328","","3.04","1","25041","3956478","H4017C7_MVX","WGS","METAGENOMIC","RT-PCR"
"SRX3291076","Stool sample C3013C8 MVX","viral metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2600327","","1.56","1","12356","1952248","C3013C8_MVX","WGS","METAGENOMIC","RT-PCR"
"SRX3291075","Stool sample P6010C2 MVX","viral metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2600325","","158.46","1","1355198","214121284","P6010C2_MVX","WGS","METAGENOMIC","RT-PCR"
"SRX3291074","Stool sample M2034C14 MVX","viral metagenome","Illumina HiSeq 2000","Harvard T.H. Chan School of Public Health","SRP115494","Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease","SRS2600324","","537.83","1","4651669","734963702","M2034C14_MVX","WGS","METAGENOMIC","RT-PCR"
